location,no,size_type,pod,weight,vessel_name_in,voyage_in,vessel_name_out,voyage_out
*0A0040101,YMMU6092260,45G1,CNNBO,4200,UASTI,002E,,
*0A0040102,YMLU8537638,45G1,CNNBO,4200,UASTI,002E,,
*0A0040103,TEMU8787963,45G1,CNNBO,4200,UASTI,002E,,
*0A0040201,YMLU8575941,45G1,CNNBO,4200,UASTI,002E,,
*0A0040202,TEMU7658787,45G1,CNNBO,4200,UASTI,002E,,
*0A0040203,YMLU8787370,45G1,CNNBO,4200,UASTI,002E,,
*0A0040204,TCNU3093492,45G1,CNNBO,4200,UASTI,002E,,
*0A0040301,BMOU4256158,45G1,CNNBO,4200,UASTI,002E,,
*0A0040302,TCNU3163687,45G1,CNNBO,4200,UASTI,002E,,
*0A0040303,YMLU8890943,45G1,CNNBO,4200,UASTI,002E,,
*0A0040304,YMLU8810146,45G1,CNNBO,4200,UASTI,002E,,
*0A0040305,TCNU2318070,45G1,CNNBO,4200,UASTI,002E,,
*0A0040401,YMLU8951571,45G1,CNNBO,4200,UASTI,002E,,
*0A0040402,YMMU6063507,45G1,CNNBO,4200,UASTI,002E,,
*0A0040403,TEMU8782112,45G1,CNNBO,4200,UASTI,002E,,
*0A0040404,BMOU5688639,45G1,CNNBO,4200,UASTI,002E,,
*0A0040405,YMLU9031670,45G1,CNNBO,4200,UASTI,002E,,
*0A0040501,YMLU8990140,45G1,CNNBO,4200,UASTI,002E,,
*0A0040502,BSIU9772300,45G1,CNNBO,4200,UASTI,002E,,
*0A0040503,YMLU8938841,45G1,CNNBO,4200,UASTI,002E,,
*0A0040504,YMLU9011123,45G1,CNNBO,4200,UASTI,002E,,
*0A0040505,SEGU6195341,45G1,CNNBO,4200,UASTI,002E,,
*0A0040601,YMLU8863830,45G1,CNNBO,4200,UASTI,002E,,
*0A0040602,TCNU3039188,45G1,CNNBO,4200,UASTI,002E,,
*0A0040603,BMOU5622061,45G1,CNNBO,4200,UASTI,002E,,
*0A0040604,BMOU4717774,45G1,CNNBO,4200,UASTI,002E,,
*0A0040605,YMLU8722997,45G1,CNNBO,4200,UASTI,002E,,
*0A0040701,TEMU8794598,45G1,CNNBO,4200,UASTI,002E,,
*0A0040702,YMMU6080459,45G1,CNNBO,4200,UASTI,002E,,
*0A0040703,MAGU5684220,45G1,CNNBO,4200,UASTI,002E,,
*0A0040704,SEGU4036171,45G1,CNNBO,4200,UASTI,002E,,
*0A0040705,SEGU4435551,45G1,CNNBO,4200,UASTI,002E,,
*0A0040801,TCNU4664791,45G1,CNNBO,4200,UASTI,002E,,
*0A0040802,TCNU3821788,45G1,CNNBO,4200,UASTI,002E,,
*0A0040803,YMLU8675386,45G1,CNNBO,4200,UASTI,002E,,
*0A0040804,TEMU8596756,45G1,CNNBO,4200,UASTI,002E,,
*0A0040805,SEGU4255117,45G1,CNNBO,4200,UASTI,002E,,
*0A0040901,TCNU4187003,45G1,CNNBO,4200,UASTI,002E,,
*0A0040902,TEMU8945647,45G1,CNNBO,4200,UASTI,002E,,
*0A0040903,TEMU8780634,45G1,CNNBO,4200,UASTI,002E,,
*0A0040904,MAGU5687928,45G1,CNNBO,4200,UASTI,002E,,
*0A0040905,YMLU8885905,45G1,CNNBO,4200,UASTI,002E,,
*0A0041001,SEGU5740040,45G1,CNNBO,4200,UASTI,002E,,
*0A0041002,TEMU8811550,45G1,CNNBO,4200,UASTI,002E,,
*0A0041003,YMLU8646264,45G1,CNNBO,4200,UASTI,002E,,
*0A0041004,BMOU6063409,45G1,CNNBO,4200,UASTI,002E,,
*0A0041005,BEAU4497778,45G1,CNNBO,4200,UASTI,002E,,
*0A0041101,YMLU8529421,45G1,CNNBO,4200,UASTI,002E,,
*0A0041102,YMLU8677033,45G1,CNNBO,4200,UASTI,002E,,
*0A0041103,SEGU4362584,45G1,CNNBO,4200,UASTI,002E,,
*0A0041104,YMMU6079798,45G1,CNNBO,4200,UASTI,002E,,
*0A0041105,BMOU6199695,45G1,CNNBO,4200,UASTI,002E,,
*0A0041201,YMMU6155970,45G1,CNNBO,4200,UASTI,002E,,
*0A0041202,SEGU6177918,45G1,CNNBO,4200,UASTI,002E,,
*0A0041203,TCNU5218599,45G1,CNNBO,4200,UASTI,002E,,
*0A0041204,BMOU6837090,45G1,CNNBO,4200,UASTI,002E,,
*0A0041205,TEMU7673647,45G1,CNNBO,4200,UASTI,002E,,
*0A0041301,FCIU9393803,45G1,CNNBO,4200,UASTI,002E,,
*0A0041302,TCNU8378230,45G1,CNNBO,4200,UASTI,002E,,
*0A0041303,YMMU6098015,45G1,CNNBO,4200,UASTI,002E,,
*0A0041304,YMLU8987677,45G1,CNNBO,4200,UASTI,002E,,
*0A0041305,YMMU6041920,45G1,CNNBO,4200,UASTI,002E,,
*0A0041401,SEGU6142779,45G1,CNNBO,4200,UASTI,002E,,
*0A0041402,SEGU5300020,45G1,CNNBO,4200,UASTI,002E,,
*0A0041403,YMMU6043270,45G1,CNNBO,4200,UASTI,002E,,
*0A0041404,TEMU7666118,45G1,CNNBO,4200,UASTI,002E,,
*0A0041405,BMOU6052960,45G1,CNNBO,4200,UASTI,002E,,
*0A0041501,BMOU6312008,45G1,CNNBO,4200,UASTI,002E,,
*0A0041502,TCNU3788951,45G1,CNNBO,4200,UASTI,002E,,
*0A0041503,YMLU8454981,45G1,CNNBO,4200,UASTI,002E,,
*0A0041504,YMLU8419738,45G1,CNNBO,4200,UASTI,002E,,
*0A0041505,TCNU3657611,45G1,CNNBO,4200,UASTI,002E,,
*0A0041601,TCNU3530925,45G1,CNNBO,4200,UASTI,002E,,
*0A0041602,YMLU8377756,45G1,CNNBO,4200,UASTI,002E,,
*0A0041603,YMLU8488132,45G1,CNNBO,4200,UASTI,002E,,
*0A0041604,YMLU8618093,45G1,CNNBO,4200,UASTI,002E,,
*0A0110101,CBHU5594648,23GP,CNDAL,2300,,,COSTB,142N
*0A0110102,TGHU1071496,23GP,CNDAL,2300,,,COSTB,142N
*0A0110103,SEGU1921415,23GP,CNDAL,2300,,,COSTB,142N
*0A0110201,FCIU5758919,23GP,CNDAL,2300,,,COSTB,142N
