vessel,pod,size,type,height,count
AFIF002W,BEANR,20,GP,8.6,68
UASLN001W,DEHAM,20,GP,8.6,315
UASLN001W,BEANR,40,GP,9.6,121
UASUL002W,NLRTM,40,GP,9.6,492
UASUL002W,DEHAM,20,GP,8.6,257
UASUL002W,BEANR,20,GP,8.6,53
UASUL002W,BEANR,40,GP,8.6,30
UASMR002W,NLRTM,20,GP,8.6,362
UASDA001W,DEHAM,40,GP,8.6,184
UASAN001W,BEANR,40,GP,9.6,122
UASAJ001W,BEANR,40,GP,8.6,41
UASJR001W,GBSOU,40,GP,8.6,22
UASAJ002W,DEHAM,40,GP,9.6,474
UASAJ002W,GBSOU,40,GP,9.6,29
UASJR002W,DEHAM,20,GP,8.6,335
UASJR002W,GBSOU,40,GP,9.6,51
AFIF001W,BEANR,20,GP,8.6,49
AFIF001W,NLRTM,40,GP,8.6,240
UASUL001W,GBSOU,20,GP,8.6,8
UASUL001W,GBSOU,40,GP,8.6,8
YMLWI006W,DEHAM,45,GP,9.6,2
YMLWI007W,NLRTM,40,GP,8.6,185
YMLWI007W,DEHAM,40,GP,9.6,443
YMLWI007W,GBSOU,40,GP,8.6,5
UASAY001W,BEANR,40,GP,8.6,55
UASAY001W,DEHAM,40,GP,8.6,174
UASAY001W,GBSOU,40,GP,9.6,27
USABA001W,DEHAM,20,GP,8.6,235
YMLHM010W,NLRTM,40,GP,8.6,167
MARKN010W,DEHAM,40,GP,8.6,220
MARKN010W,NLRTM,40,GP,8.6,181
UASDA002W,DEHAM,20,GP,8.6,305
UASSL002W,NLRTM,40,GP,9.6,476
MARKN011W,DEHAM,40,GP,8.6,196
MARKN011W,GBSOU,40,GP,8.6,5
MARKN011W,CNSHA,40,GP,9.6,2
MARKN011W,DEHAM,45,GP,9.6,9
UASLN002W,NLRTM,40,GP,8.6,181
UASLN002W,DEHAM,20,GP,8.6,240
UASAJ003W,BEANR,40,GP,9.6,51
UASAJ003W,GBSOU,40,GP,8.6,1
YMLHM011W,NLRTM,45,GP,9.6,6
YMLHM011W,GBSOU,40,GP,8.6,7
AFIF002W,NLRTM,20,GP,8.6,322
AFIF002W,DEHAM,45,GP,9.6,7
AFIF002W,NLRTM,45,GP,9.6,1
UASLN001W,NLRTM,20,GP,8.6,327
UASLN001W,GBSOU,20,GP,8.6,7
UASJR003W,NLRTM,20,GP,8.6,249
UASJR003W,BEANR,40,GP,8.6,22
UASUL002W,GBSOU,40,GP,8.6,10
UASMR002W,DEHAM,40,GP,8.6,210
UASMR002W,GBSOU,40,GP,8.6,8
UASMR002W,DEHAM,45,GP,9.6,6
UASAN001W,BEANR,20,GP,8.6,66
UASAN001W,DEHAM,20,GP,8.6,319
UASAJ001W,NLRTM,40,GP,9.6,417
UASAJ001W,GBSOU,40,GP,9.6,27
UASJR001W,NLRTM,40,GP,8.6,143
UASJR001W,NLRTM,20,GP,8.6,268
UASJR001W,BEANR,40,GP,8.6,35
UASJR001W,CNNBO,40,GP,8.6,1
UASAN002W,NLRTM,40,GP,9.6,467
UASAN002W,DEHAM,45,GP,9.6,5
UASAJ002W,DEHAM,20,GP,8.6,301
UASAJ002W,DEHAM,40,GP,8.6,241
UASJR002W,DEHAM,40,GP,9.6,521
UASJR002W,BEANR,20,GP,8.6,50
AFIF001W,DEHAM,20,GP,8.6,226
UASUL001W,DEHAM,20,GP,8.6,249
UASUL001W,DEHAM,40,GP,9.6,437
UASUL001W,BEANR,20,GP,8.6,61
YMLWI006W,GBSOU,40,GP,9.6,50
YMLWI006W,GBSOU,40,GP,8.6,15
YMLWI007W,NLRTM,20,GP,8.6,257
YMLWI007W,BEANR,20,GP,8.6,78
YMLWI007W,NLRTM,45,GP,9.6,2
UASAY001W,DEHAM,20,GP,8.6,345
UASAY001W,BEANR,40,GP,9.6,103
UASAY001W,GBSOU,20,GP,8.6,13
USABA001W,DEHAM,40,GP,8.6,166
USABA001W,NLRTM,20,GP,8.6,262
USABA001W,CNSHA,20,GP,8.6,18
YMLHM010W,CNNBO,40,GP,8.6,1
MARKN010W,NLRTM,40,GP,9.6,481
MARKN010W,DEHAM,40,GP,9.6,538
MARKN010W,GBSOU,20,GP,8.6,12
ALJML001W,DEHAM,40,GP,8.6,228
ALJML001W,GBSOU,40,GP,9.6,137
ALJML001W,GBSOU,20,GP,8.6,74
ALJML001W,GBSOU,40,GP,8.6,39
ALJML001W,DEHAM,45,GP,9.6,12
